Department,ID,Date,Description,Qty,Retail,Subtotal,Discount,Tax,Total
Bread,845847,1/26/2024,Food For Life Ezekiel Pocket Bread,1,4.29,4.29,0.21,0,4.08
Bread,845847,1/26/2024,Food For Life Ezekiel Pocket Bread,1,4.29,4.29,0.21,0,4.08
Bread,846835,2/5/2024,Food For Life Ezekiel Pocket Bread,1,4.29,4.29,0,0,4.29
Bread,846835,2/5/2024,Food For Life Ezekiel Pocket Bread,1,4.29,4.29,0,0,4.29
Bread,848666,2/23/2024,Food For Life Ezekiel Pocket Bread,1,4.29,4.29,1.07,0,3.22
Bread,848702,2/23/2024,Food For Life Ezekiel Pocket Bread,1,4.29,4.29,0.21,0,4.08
Bread,849330,3/1/2024,Food For Life Ezekiel Pocket Bread,1,4.29,4.29,1.07,0,3.22
Bread,843840,1/4/2024,Food For Life Ezekiel  Sesame Bread,1,7.79,7.79,0.78,0,7.01
Bread,844703,1/13/2024,Food For Life Ezekiel  Sesame Bread,1,7.79,7.79,0.39,0,7.4
Bread,845148,1/18/2024,Food For Life Ezekiel  Sesame Bread,1,7.79,7.79,1.71,0,6.08
Bread,845502,1/22/2024,Food For Life Ezekiel  Sesame Bread,1,7.79,7.79,0.39,0,7.4
Bread,848720,2/24/2024,Food For Life Ezekiel  Sesame Bread,1,7.79,7.79,0,0,7.79
Bread,848924,2/26/2024,Food For Life Ezekiel  Sesame Bread,1,7.79,7.79,0,0,7.79
Bread,849141,2/28/2024,Food For Life Ezekiel  Sesame Bread,1,7.79,7.79,0.39,0,7.4
Bread,849473,3/2/2024,Food For Life Ezekiel  Sesame Bread,1,7.79,7.79,0.39,0,7.4
Bread,849577,3/3/2024,Food For Life Ezekiel  Sesame Bread,1,7.79,7.79,1.32,0,6.47
Bread,852028,3/29/2024,Food For Life Ezekiel  Sesame Bread,1,7.79,7.79,0.39,0,7.4
Bread,852456,4/3/2024,Food For Life Ezekiel  Sesame Bread,1,7.79,7.79,0.39,0,7.4
Bread,852860,4/6/2024,Food For Life Ezekiel  Sesame Bread,1,7.79,7.79,0.39,0,7.4
Bread,853683,4/15/2024,Food For Life Ezekiel  Sesame Bread,1,7.79,7.79,0.39,0,7.4
Bread,843870,1/4/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,1.17,0,6.62
Bread,843909,1/4/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,1.17,0,6.62
Bread,844633,1/12/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,1.95,0,5.84
Bread,844800,1/15/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,844852,1/15/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0,0,7.79
Bread,844871,1/15/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,845248,1/19/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,846851,2/5/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,847031,2/6/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,847048,2/7/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,847124,2/7/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,847683,2/13/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,848166,2/18/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,848329,2/19/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,848344,2/20/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,848618,2/22/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,849131,2/28/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.78,0,7.01
Bread,849354,3/1/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,849490,3/2/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0,0,7.79
Bread,849962,3/7/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,849974,3/7/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,850131,3/9/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0,0,7.79
Bread,850356,3/12/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,850495,3/13/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,850882,3/17/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,851646,3/25/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,851802,3/27/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,1.71,0,6.08
Bread,851909,3/28/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,852027,3/29/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0,0,7.79
Bread,852386,4/2/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,852729,4/6/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,0.39,0,7.4
Bread,853330,4/11/2024,Food For Life Ezekiel Sprouted Grain Bread 24oz,1,7.79,7.79,1.71,0,6.08
Bread,844367,1/10/2024,Alvarado St. Cinnamon Raisin Bagels,1,8.69,8.69,0.43,0,8.26
Bread,844367,1/10/2024,Alvarado St. Cinnamon Raisin Bagels,1,8.69,8.69,0.43,0,8.26
Bread,845834,1/26/2024,Alvarado St. Cinnamon Raisin Bagels,1,8.69,8.69,0.43,0,8.26
Bread,845834,1/26/2024,Alvarado St. Cinnamon Raisin Bagels,1,8.69,8.69,0.43,0,8.26
Bread,845888,1/26/2024,Alvarado St. Cinnamon Raisin Bagels,1,8.69,8.69,0.43,0,8.26
Bread,847821,2/14/2024,Alvarado St. Cinnamon Raisin Bagels,1,8.69,8.69,1.3,0,7.39
Bread,847821,2/14/2024,Alvarado St. Cinnamon Raisin Bagels,1,8.69,8.69,1.3,0,7.39
Bread,850315,3/11/2024,Alvarado St. Cinnamon Raisin Bagels,1,8.69,8.69,0.43,0,8.26
Bread,852472,4/3/2024,Alvarado St. Cinnamon Raisin Bagels,1,8.69,8.69,0,0,8.69
Bread,844369,1/10/2024,Alvarado St. Onion Poppyseed Bagels,1,8.69,8.69,0.43,0,8.26
Bread,845027,1/17/2024,Alvarado St. Onion Poppyseed Bagels,1,8.69,8.69,0.43,0,8.26
Bread,845035,1/17/2024,Alvarado St. Onion Poppyseed Bagels,1,8.69,8.69,0.43,0,8.26
Bread,849444,3/2/2024,Alvarado St. Onion Poppyseed Bagels,1,8.69,8.69,0,0,8.69
Bread,850315,3/11/2024,Alvarado St. Onion Poppyseed Bagels,1,8.69,8.69,0.43,0,8.26
Bread,844056,1/6/2024,Food For Life Ezekiel Tortillas Large,1,4.79,4.79,0.24,0,4.55
Bread,844710,1/13/2024,Food For Life Ezekiel Tortillas Large,1,4.79,4.79,0,0,4.79
Bread,844751,1/14/2024,Food For Life Ezekiel Tortillas Large,1,4.79,4.79,0.24,0,4.55
Bread,845706,1/25/2024,Food For Life Ezekiel Tortillas Large,1,4.79,4.79,0.24,0,4.55
Bread,845746,1/25/2024,Food For Life Ezekiel Tortillas Large,1,4.79,4.79,0.48,0,4.31
Bread,845753,1/25/2024,Food For Life Ezekiel Tortillas Large,1,4.79,4.79,0.48,0,4.31
Bread,845753,1/25/2024,Food For Life Ezekiel Tortillas Large,1,4.79,4.79,0.48,0,4.31
Bread,845888,1/26/2024,Food For Life Ezekiel Tortillas Large,1,4.79,4.79,0.24,0,4.55
Bread,846075,1/28/2024,Food For Life Ezekiel Tortillas Large,1,4.79,4.79,0.24,0,4.55
Bread,846492,2/1/2024,Food For Life Ezekiel Tortillas Large,1,4.79,4.79,0,0,4.79
Bread,848886,2/25/2024,Food For Life Ezekiel Tortillas Large,1,5.19,5.19,0.26,0,4.93
Bread,849430,3/2/2024,Food For Life Ezekiel Tortillas Large,1,5.19,5.19,0.26,0,4.93
Bread,849762,3/5/2024,Food For Life Ezekiel Tortillas Large,1,5.19,5.19,0.26,0,4.93
Bread,850026,3/8/2024,Food For Life Ezekiel Tortillas Large,1,5.19,5.19,0.26,0,4.93
Bread,850026,3/8/2024,Food For Life Ezekiel Tortillas Large,1,5.19,5.19,0.26,0,4.93
Bread,850295,3/11/2024,Food For Life Ezekiel Tortillas Large,1,5.19,5.19,0.26,0,4.93
Bread,850565,3/14/2024,Food For Life Ezekiel Tortillas Large,1,5.19,5.19,0.26,0,4.93
Bread,850883,3/17/2024,Food For Life Ezekiel Tortillas Large,1,5.19,5.19,0.26,0,4.93
Bread,851257,3/21/2024,Food For Life Ezekiel Tortillas Large,1,5.19,5.19,0.52,0,4.67
Bread,851630,3/25/2024,Food For Life Ezekiel Tortillas Large,1,5.19,5.19,0.26,0,4.93
Bread,851630,3/25/2024,Food For Life Ezekiel Tortillas Large,1,5.19,5.19,0.26,0,4.93
Bread,851717,3/26/2024,Food For Life Ezekiel Tortillas Large,1,5.19,5.19,0.26,0,4.93
Bread,852669,4/5/2024,Food For Life Ezekiel Tortillas Large,1,5.19,5.19,0.26,0,4.93
Bread,844056,1/6/2024,Food For Life Tortillas Sprouted Corn,1,5.79,5.79,0.29,0,5.5
Bread,845353,1/21/2024,Food For Life Tortillas Sprouted Corn,1,5.79,5.79,0.29,0,5.5
Bread,845353,1/21/2024,Food For Life Tortillas Sprouted Corn,1,5.79,5.79,0.29,0,5.5
Bread,846638,2/3/2024,Food For Life Tortillas Sprouted Corn,1,5.79,5.79,0.29,0,5.5
Bread,847462,2/10/2024,Food For Life Tortillas Sprouted Corn,1,5.79,5.79,0.29,0,5.5
Bread,847462,2/10/2024,Food For Life Tortillas Sprouted Corn,1,5.79,5.79,0.29,0,5.5
Bread,847462,2/10/2024,Food For Life Tortillas Sprouted Corn,1,5.79,5.79,0.29,0,5.5
Bread,847637,2/12/2024,Food For Life Tortillas Sprouted Corn,1,5.79,5.79,0,0,5.79
Bread,847901,2/15/2024,Food For Life Tortillas Sprouted Corn,1,5.79,5.79,0,0,5.79
Bread,849717,3/5/2024,Food For Life Tortillas Sprouted Corn,1,5.79,5.79,0.58,0,5.21
Bread,852162,3/30/2024,Food For Life Tortillas Sprouted Corn,1,5.79,5.79,0.29,0,5.5
Bread,852509,4/4/2024,Food For Life Tortillas Sprouted Corn,1,5.79,5.79,0,0,5.79
Bread,845240,1/19/2024,Berlin Pizza Crust White Spelt,1,5.39,5.39,0.27,0,5.12
Bread,851583,3/24/2024,Berlin Pizza Crust White Spelt,1,5.39,5.39,0.27,0,5.12
Bread,849587,3/4/2024,Crumbs Cookie Oatmeal Raisin,1,3.49,3.49,0,0,3.49
Bread,851171,3/20/2024,Crumbs Cookie Oatmeal Raisin,1,3.49,3.49,0.87,0,2.62
Bread,851487,3/23/2024,Crumbs Cookie Oatmeal Raisin,1,3.49,3.49,0.17,0,3.32
